col_i,col_j,mi,mi_p,ji,ji_p,chi2,chi2_p,mi_q,ji_q,chi2_q,mi_sig,ji_sig,chi2_sig
1,0.6,0.0016432445189071467,0.6418671626567468,0.0784313725490196,0.8147237055258895,0.44601128212987196,0.5042352445388198,0.6618161754411972,1.0,0.5294470067657608,False,False,False
1,0.7,0.02209650317962315,0.013299734005319894,0.16666666666666666,0.013299734005319894,7.9968927530794005,0.004685769178619164,0.01605140310986884,0.025860593899233127,0.0059277802862049665,True,True,True
1,1.4,0.009637144312985974,0.1632967340653187,0.057692307692307696,0.9691206175876482,2.546539097714146,0.11053615038365736,0.17860580288394232,1.0,0.12089891448212524,False,False,False
1,0.8,0.001271993397286092,0.625627487450251,0.1038961038961039,0.35457290854182916,0.3577752882078712,0.5497443869663965,0.6569088618227635,0.6310195829981705,0.5715164418957587,False,False,False
1,0.9,0.011463446204442344,0.13299734005319894,0.14,0.06079878402431951,3.625235404896422,0.0569095205220009,0.1469970600587988,0.11006676418195774,0.06356914526393717,False,False,False
1.1,0.1,0.3987089077204539,1.999960000799984e-05,0.64,1.999960000799984e-05,100.48610985560903,1.1923017780505437e-23,3.7499250014999705e-05,4.666573335199963e-05,7.364216864429828e-23,True,True,True
1.1,1.2,0.0616170595379614,7.999840003199936e-05,0.21794871794871795,7.999840003199936e-05,17.35890410958904,3.094450745315349e-05,0.0001423700339552531,0.0001826050435513029,5.602022901001925e-05,True,True,True
1.1,0.2,0.2213426998494767,1.999960000799984e-05,0.027777777777777776,1.0,51.58390997661209,6.860150464178515e-13,3.7499250014999705e-05,1.0,2.000877218718733e-12,True,False,True
1.1,0.3,0.3781126400357976,1.999960000799984e-05,0.631578947368421,1.999960000799984e-05,96.72767412718511,7.954956084060936e-23,3.7499250014999705e-05,4.666573335199963e-05,4.39615994119157e-22,True,True,True
1.1,0.4,0.2657002848845178,1.999960000799984e-05,0.5662650602409639,1.999960000799984e-05,71.46758502201291,2.8185062494700226e-17,3.7499250014999705e-05,4.666573335199963e-05,1.0204936420494909e-16,True,True,True
1.1,1.3,0.6829553770628596,1.999960000799984e-05,0.881578947368421,1.999960000799984e-05,161.0937686888454,6.526464566325939e-37,3.7499250014999705e-05,4.666573335199963e-05,1.7131969486605592e-35,True,True,True
1.1,0.5,0.2884375561914302,1.999960000799984e-05,0.5853658536585366,1.999960000799984e-05,77.07414171102486,1.6465911366692845e-18,3.7499250014999705e-05,4.666573335199963e-05,6.6496949750105716e-18,True,True,True
1.1,0.6,0.19483088827526962,1.999960000799984e-05,0.5428571428571428,1.999960000799984e-05,51.29859690216938,7.93323180312448e-13,3.7499250014999705e-05,4.666573335199963e-05,2.251322538724515e-12,True,True,True
1.1,0.7,0.13316274055194638,1.999960000799984e-05,0.2702702702702703,1.999960000799984e-05,34.38581392417659,4.520058540171273e-09,3.7499250014999705e-05,4.666573335199963e-05,1.0098003121659226e-08,True,True,True
1.1,1.4,0.17823972459910079,1.999960000799984e-05,0.5283018867924528,1.999960000799984e-05,47.14443095684246,6.594375260924379e-12,3.7499250014999705e-05,4.666573335199963e-05,1.7754087240950252e-11,True,True,True
1.1,0.8,0.05177281118680323,0.00023999520009599807,0.096,0.999960000799984,13.338018401144964,0.00026007903395245443,0.0004064434840335451,1.0,0.00042012767023088794,True,False,True
1.1,0.9,0.0058840205275061536,0.25625487490250193,0.10101010101010101,0.9254614907701846,1.5623013698630137,0.21132857338779698,0.27455879453839493,1.0,0.22642347148692535,False,False,False
0.1,1.2,0.04995362698739042,0.001359972800543989,0.0,1.0,8.361486486486488,0.0038325692378774314,0.0019296911359070114,1.0,0.004968145308359633,True,False,True
0.1,0.2,0.173989382347243,1.999960000799984e-05,0.008064516129032258,1.0,36.59426341463414,1.454591568069973e-09,3.7499250014999705e-05,1.0,3.3202633618988514e-09,True,False,True
0.1,0.3,0.7101532525281706,1.999960000799984e-05,0.9423076923076923,1.999960000799984e-05,182.55804289283287,1.3394208013850213e-41,3.7499250014999705e-05,4.666573335199963e-05,7.031959207271362e-40,True,True,True
0.1,0.4,0.5576240698711393,1.999960000799984e-05,0.8135593220338984,1.999960000799984e-05,147.40258345691717,6.4080407719428135e-34,3.7499250014999705e-05,4.666573335199963e-05,9.612061157914219e-33,True,True,True
0.1,1.3,0.5101124412842312,1.999960000799984e-05,0.7142857142857143,1.999960000799984e-05,122.3166023166023,1.9679038100051691e-28,3.7499250014999705e-05,4.666573335199963e-05,1.721915833754523e-27,True,True,True
0.1,0.5,0.47897588296740795,1.999960000799984e-05,0.7540983606557377,1.999960000799984e-05,130.37989286038555,3.384007576424691e-30,3.7499250014999705e-05,4.666573335199963e-05,3.2301890502235684e-29,True,True,True
0.1,0.6,0.21793983905673925,1.999960000799984e-05,0.4787234042553192,1.999960000799984e-05,54.863900907401586,1.2917190483114994e-13,3.7499250014999705e-05,4.666573335199963e-05,3.8751571449344984e-13,True,True,True
0.1,0.7,0.052378627107565794,0.0002599948001039979,0.22413793103448276,0.0002599948001039979,16.719021006478634,4.3344241911716174e-05,0.0004333246668399965,0.0005687386252274954,7.71380576394949e-05,True,True,True
0.1,1.4,0.32764693337394857,1.999960000799984e-05,0.5444444444444444,1.999960000799984e-05,76.07928121090889,2.7250146873677343e-18,3.7499250014999705e-05,4.666573335199963e-05,1.0597279339763411e-17,True,True,True
0.1,0.8,0.07824252428190026,3.999920001599968e-05,0.03636363636363636,0.999980000399992,18.09096208148447,2.1059869495062257e-05,7.368273687157837e-05,1.0,3.9487255303241726e-05,True,False,True
